emotions,genders,audio_intensity,audio_path,duration,dataset
fear,male,normal,./data/augmented_audio\fear_0.wav,1.8685260770975056,crema
disgust,male,normal,./data/augmented_audio\disgust_1.wav,2.3690249433106576,crema
angry,female,normal,./data/augmented_audio\angry_2.wav,2.836190476190476,crema
angry,female,normal,./data/augmented_audio\angry_3.wav,2.5359183673469388,crema
sad,female,normal,./data/augmented_audio\sad_4.wav,2.7263492063492065,tess
angry,male,normal,./data/augmented_audio\angry_5.wav,2.7253514739229026,savee
neutral,female,normal,./data/augmented_audio\neutral_6.wav,2.110113378684807,tess
happy,female,normal,./data/augmented_audio\happy_7.wav,1.9502040816326531,tess
sad,female,normal,./data/augmented_audio\sad_8.wav,2.511201814058957,tess
disgust,female,normal,./data/augmented_audio\disgust_9.wav,2.73609977324263,crema
disgust,female,normal,./data/augmented_audio\disgust_10.wav,2.669342403628118,crema
disgust,male,normal,./data/augmented_audio\disgust_11.wav,4.104126984126984,crema
happy,male,normal,./data/augmented_audio\happy_12.wav,2.4691609977324265,crema
angry,female,normal,./data/augmented_audio\angry_13.wav,1.9062131519274377,tess
disgust,female,high,./data/augmented_audio\disgust_14.wav,1.901904761904762,crema
happy,male,normal,./data/augmented_audio\happy_15.wav,3.5035374149659866,ravdess
angry,female,normal,./data/augmented_audio\angry_16.wav,3.5369160997732427,ravdess
neutral,female,normal,./data/augmented_audio\neutral_17.wav,2.4691609977324265,crema
sad,male,high,./data/augmented_audio\sad_18.wav,3.336689342403628,ravdess
sad,male,normal,./data/augmented_audio\sad_19.wav,3.0030385487528344,crema
happy,female,normal,./data/augmented_audio\happy_20.wav,3.1698412698412697,crema
fear,female,low,./data/augmented_audio\fear_21.wav,2.702721088435374,crema
happy,male,high,./data/augmented_audio\happy_22.wav,3.83718820861678,ravdess
disgust,female,normal,./data/augmented_audio\disgust_23.wav,1.9686621315192743,crema
angry,male,high,./data/augmented_audio\angry_24.wav,3.0364172335600905,crema
sad,female,normal,./data/augmented_audio\sad_25.wav,2.556780045351474,tess
sad,male,normal,./data/augmented_audio\sad_26.wav,2.73609977324263,crema
angry,female,normal,./data/augmented_audio\angry_27.wav,3.0364172335600905,crema
disgust,female,normal,./data/augmented_audio\disgust_28.wav,1.8351927437641724,crema
disgust,female,normal,./data/augmented_audio\disgust_29.wav,2.4922902494331067,tess
neutral,male,normal,./data/augmented_audio\neutral_30.wav,2.2022222222222223,crema
neutral,female,normal,./data/augmented_audio\neutral_31.wav,1.8356462585034015,tess
disgust,male,normal,./data/augmented_audio\disgust_32.wav,2.9696598639455782,crema
fear,male,normal,./data/augmented_audio\fear_33.wav,2.5025396825396826,crema
fear,female,normal,./data/augmented_audio\fear_34.wav,2.702721088435374,crema
angry,female,normal,./data/augmented_audio\angry_35.wav,2.381043083900227,tess
fear,female,normal,./data/augmented_audio\fear_36.wav,3.0364172335600905,crema
happy,female,high,./data/augmented_audio\happy_37.wav,1.668344671201814,crema
neutral,female,normal,./data/augmented_audio\neutral_38.wav,2.6026303854875286,crema
angry,female,normal,./data/augmented_audio\angry_39.wav,1.4403628117913831,tess
happy,female,normal,./data/augmented_audio\happy_40.wav,2.0867573696145123,tess
fear,female,normal,./data/augmented_audio\fear_41.wav,2.5359183673469388,crema
surprised,male,high,./data/augmented_audio\surprised_42.wav,3.2699773242630386,ravdess
angry,female,normal,./data/augmented_audio\angry_43.wav,2.5025396825396826,crema
neutral,male,normal,./data/augmented_audio\neutral_44.wav,2.3356916099773244,crema
angry,male,normal,./data/augmented_audio\angry_45.wav,3.4034013605442177,crema
angry,female,normal,./data/augmented_audio\angry_46.wav,2.035419501133787,crema
disgust,male,high,./data/augmented_audio\disgust_47.wav,4.070748299319728,ravdess
disgust,female,normal,./data/augmented_audio\disgust_48.wav,2.702721088435374,crema
sad,male,high,./data/augmented_audio\sad_49.wav,1.9352834467120181,crema
sad,male,normal,./data/augmented_audio\sad_50.wav,2.4024036281179137,crema
happy,male,normal,./data/augmented_audio\happy_51.wav,3.2699773242630386,crema
angry,female,normal,./data/augmented_audio\angry_52.wav,2.1127437641723357,tess
fear,female,normal,./data/augmented_audio\fear_53.wav,2.3356916099773244,crema
sad,male,normal,./data/augmented_audio\sad_54.wav,2.035419501133787,crema
disgust,male,normal,./data/augmented_audio\disgust_55.wav,3.83718820861678,crema
disgust,female,normal,./data/augmented_audio\disgust_56.wav,3.83718820861678,crema
happy,male,normal,./data/augmented_audio\happy_57.wav,2.2689795918367346,crema
disgust,male,normal,./data/augmented_audio\disgust_58.wav,1.8685260770975056,crema
neutral,male,normal,./data/augmented_audio\neutral_59.wav,5.446258503401361,savee
neutral,female,normal,./data/augmented_audio\neutral_60.wav,2.2287528344671204,tess
fear,male,normal,./data/augmented_audio\fear_61.wav,1.901904761904762,crema
disgust,female,normal,./data/augmented_audio\disgust_62.wav,3.436780045351474,crema
sad,male,low,./data/augmented_audio\sad_63.wav,2.569251700680272,crema
fear,female,normal,./data/augmented_audio\fear_64.wav,3.937278911564626,ravdess
disgust,female,normal,./data/augmented_audio\disgust_65.wav,2.936281179138322,crema
disgust,female,normal,./data/augmented_audio\disgust_66.wav,2.4691609977324265,crema
fear,female,normal,./data/augmented_audio\fear_67.wav,1.6673469387755102,tess
fear,female,normal,./data/augmented_audio\fear_68.wav,2.035419501133787,crema
