emotions,genders,audio_intensity,audio_path,duration,dataset
disgust,female,normal,./data/augmented_audio\disgust_0.wav,2.5420861678004534,tess
sad,female,high,./data/augmented_audio\sad_1.wav,2.5025396825396826,crema
happy,female,high,./data/augmented_audio\happy_2.wav,4.304308390022676,ravdess
happy,male,normal,./data/augmented_audio\happy_3.wav,3.2032199546485263,ravdess
fear,male,low,./data/augmented_audio\fear_4.wav,2.168843537414966,crema
fear,female,normal,./data/augmented_audio\fear_5.wav,2.4024036281179137,crema
surprised,female,high,./data/augmented_audio\surprised_6.wav,3.803854875283447,ravdess
neutral,female,normal,./data/augmented_audio\neutral_7.wav,2.248344671201814,tess
angry,female,normal,./data/augmented_audio\angry_8.wav,3.47015873015873,crema
angry,female,normal,./data/augmented_audio\angry_9.wav,1.6011337868480726,tess
disgust,female,normal,./data/augmented_audio\disgust_10.wav,2.769478458049887,crema
happy,female,normal,./data/augmented_audio\happy_11.wav,2.5359183673469388,crema
angry,male,normal,./data/augmented_audio\angry_12.wav,2.635963718820862,crema
angry,female,normal,./data/augmented_audio\angry_13.wav,2.1354648526077096,crema
surprised,female,normal,./data/augmented_audio\surprised_14.wav,1.8115192743764172,tess
angry,female,normal,./data/augmented_audio\angry_15.wav,1.494920634920635,tess
neutral,male,normal,./data/augmented_audio\neutral_16.wav,2.3356916099773244,crema
happy,male,normal,./data/augmented_audio\happy_17.wav,2.936281179138322,crema
happy,female,normal,./data/augmented_audio\happy_18.wav,3.0364172335600905,crema
sad,female,normal,./data/augmented_audio\sad_19.wav,2.0020408163265304,crema
sad,female,normal,./data/augmented_audio\sad_20.wav,2.5359183673469388,crema
happy,female,normal,./data/augmented_audio\happy_21.wav,2.168843537414966,crema
sad,female,normal,./data/augmented_audio\sad_22.wav,2.9848072562358277,tess
angry,male,low,./data/augmented_audio\angry_23.wav,2.569251700680272,crema
fear,female,normal,./data/augmented_audio\fear_24.wav,2.569251700680272,crema
happy,female,normal,./data/augmented_audio\happy_25.wav,3.737097505668934,ravdess
fear,female,normal,./data/augmented_audio\fear_26.wav,1.5657596371882085,tess
disgust,female,normal,./data/augmented_audio\disgust_27.wav,2.5359183673469388,crema
angry,female,normal,./data/augmented_audio\angry_28.wav,2.0926984126984127,tess
neutral,male,normal,./data/augmented_audio\neutral_29.wav,1.7684807256235828,crema
disgust,female,normal,./data/augmented_audio\disgust_30.wav,3.9039002267573695,crema
fear,male,normal,./data/augmented_audio\fear_31.wav,2.5359183673469388,crema
happy,female,normal,./data/augmented_audio\happy_32.wav,2.0029931972789115,tess
angry,female,normal,./data/augmented_audio\angry_33.wav,1.9062131519274377,tess
angry,female,high,./data/augmented_audio\angry_34.wav,4.471156462585034,ravdess
surprised,female,normal,./data/augmented_audio\surprised_35.wav,1.8607709750566894,tess
happy,female,normal,./data/augmented_audio\happy_36.wav,2.0573242630385487,tess
fear,male,normal,./data/augmented_audio\fear_37.wav,2.0020408163265304,crema
fear,male,low,./data/augmented_audio\fear_38.wav,2.06875283446712,crema
happy,female,normal,./data/augmented_audio\happy_39.wav,2.702721088435374,crema
disgust,female,normal,./data/augmented_audio\disgust_40.wav,3.0364172335600905,crema
neutral,male,normal,./data/augmented_audio\neutral_41.wav,3.0364172335600905,crema
disgust,male,normal,./data/augmented_audio\disgust_42.wav,3.0364172335600905,crema
neutral,female,normal,./data/augmented_audio\neutral_43.wav,1.7017233560090703,crema
angry,female,normal,./data/augmented_audio\angry_44.wav,2.802857142857143,crema
fear,male,normal,./data/augmented_audio\fear_45.wav,2.06875283446712,crema
happy,male,normal,./data/augmented_audio\happy_46.wav,2.702721088435374,crema
neutral,female,normal,./data/augmented_audio\neutral_47.wav,2.5025396825396826,crema
fear,male,normal,./data/augmented_audio\fear_48.wav,2.836190476190476,crema
angry,female,normal,./data/augmented_audio\angry_49.wav,3.436780045351474,crema
fear,female,normal,./data/augmented_audio\fear_50.wav,3.2032199546485263,crema
disgust,female,normal,./data/augmented_audio\disgust_51.wav,2.2356009070294784,crema
sad,male,normal,./data/augmented_audio\sad_52.wav,2.2689795918367346,crema
fear,female,high,./data/augmented_audio\fear_53.wav,3.9039002267573695,ravdess
fear,male,normal,./data/augmented_audio\fear_54.wav,2.3690249433106576,crema
fear,female,normal,./data/augmented_audio\fear_55.wav,2.3023129251700682,crema
happy,female,normal,./data/augmented_audio\happy_56.wav,2.769478458049887,crema
surprised,female,normal,./data/augmented_audio\surprised_57.wav,1.8416780045351473,tess
angry,female,normal,./data/augmented_audio\angry_58.wav,2.769478458049887,crema
fear,female,high,./data/augmented_audio\fear_59.wav,4.070748299319728,ravdess
disgust,female,high,./data/augmented_audio\disgust_60.wav,2.6026303854875286,crema
fear,female,normal,./data/augmented_audio\fear_61.wav,2.1354648526077096,crema
angry,female,normal,./data/augmented_audio\angry_62.wav,2.1733786848072563,tess
fear,female,normal,./data/augmented_audio\fear_63.wav,1.7952834467120182,tess
sad,female,normal,./data/augmented_audio\sad_64.wav,2.2974149659863947,tess
sad,female,normal,./data/augmented_audio\sad_65.wav,2.6606802721088436,tess
neutral,male,normal,./data/augmented_audio\neutral_66.wav,2.2689795918367346,crema
sad,male,high,./data/augmented_audio\sad_67.wav,4.738095238095238,ravdess
happy,male,high,./data/augmented_audio\happy_68.wav,3.83718820861678,ravdess
happy,male,normal,./data/augmented_audio\happy_69.wav,2.3356916099773244,crema
fear,male,normal,./data/augmented_audio\fear_70.wav,2.43578231292517,crema
fear,female,high,./data/augmented_audio\fear_71.wav,3.6370068027210882,ravdess
happy,male,normal,./data/augmented_audio\happy_72.wav,2.282721088435374,crema
disgust,male,normal,./data/augmented_audio\disgust_73.wav,2.3690249433106576,crema
disgust,female,normal,./data/augmented_audio\disgust_74.wav,2.624761904761905,tess
neutral,male,normal,./data/augmented_audio\neutral_75.wav,2.4024036281179137,crema
happy,male,normal,./data/augmented_audio\happy_76.wav,2.73609977324263,crema
