emotions,genders,audio_intensity,audio_path,duration,dataset
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-01-01-01-01-01.wav,3.3033106575963718,ravdess
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-01-01-01-02-01.wav,3.336689342403628,ravdess
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-01-01-02-01-01.wav,3.2699319727891156,ravdess
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-01-01-02-02-01.wav,3.1698412698412697,ravdess
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-01-01-01-01.wav,3.53687074829932,ravdess
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-01-01-02-01.wav,3.603628117913832,ravdess
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-01-02-01-01.wav,3.5035374149659866,ravdess
neutral,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-01-02-02-01.wav,3.47015873015873,ravdess
neutral,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-02-01-01-01.wav,3.703718820861678,ravdess
neutral,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-02-01-02-01.wav,4.004036281179138,ravdess
neutral,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-02-02-01-01.wav,4.20421768707483,ravdess
neutral,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-02-02-02-02-01.wav,4.004036281179138,ravdess
happy,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-01-01-01-01.wav,3.47015873015873,ravdess
happy,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-01-01-02-01.wav,3.47015873015873,ravdess
happy,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-01-02-01-01.wav,3.53687074829932,ravdess
happy,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-01-02-02-01.wav,3.703718820861678,ravdess
happy,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-02-01-01-01.wav,3.670340136054422,ravdess
happy,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-02-01-02-01.wav,3.6369614512471657,ravdess
happy,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-02-02-01-01.wav,3.937278911564626,ravdess
happy,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-03-02-02-02-01.wav,3.937278911564626,ravdess
sad,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-01-01-01-01.wav,3.83718820861678,ravdess
sad,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-01-01-02-01.wav,3.570249433106576,ravdess
sad,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-01-02-01-01.wav,3.5035374149659866,ravdess
sad,male,normal,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-01-02-02-01.wav,3.3700680272108845,ravdess
sad,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-02-01-01-01.wav,3.803809523809524,ravdess
sad,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-02-01-02-01.wav,3.703718820861678,ravdess
sad,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-02-02-01-01.wav,3.737097505668934,ravdess
sad,male,high,./data/ravdess-emotional-speech-audio/Actor_01\03-01-04-02-02-02-01.wav,3.737097505668934,ravdess
